crop,season,district,year,selling_price_range,selling_location,industry_name
coriander,rabi,mancherial,2020,4537–5196 ₹/quintal,industry buyer,krishi produce ltd
spices,rabi,medchal–malkajgiri,2022,2488–3927 ₹/quintal,local market,agro industries ltd
urad,kharif,nalgonda,2023,2019–2859 ₹/quintal,nearest mandi,krishi produce ltd
barley,rabi,yadadri bhuvanagiri,2024,2494–3862 ₹/quintal,nearest mandi,mandi connect ltd
muskmelon,zaid,mancherial,2022,3143–4492 ₹/quintal,local market,mandi connect ltd
orange,kharif,medak,2023,5052–5379 ₹/quintal,local market,telangana agri exports
chilli,rabi,siddipet,2021,6544–7330 ₹/quintal,local market,green harvest corp
saffron,rabi,kamareddy,2024,2330–3569 ₹/quintal,nearest mandi,rural farmers hub
sunflower,rabi,nirmal,2023,3140–3757 ₹/quintal,local market,rural farmers hub
soybean,kharif,mahabubnagar,2021,3793–4554 ₹/quintal,nearest mandi,rural farmers hub
barley,rabi,nalgonda,2020,4239–4666 ₹/quintal,local market,rural farmers hub
rice,kharif,nagarkurnool,2021,2201–3681 ₹/quintal,nearest mandi,krishi produce ltd
sesame,kharif,rangareddy,2024,3139–4198 ₹/quintal,industry buyer,agro industries ltd
okra,kharif,kamareddy,2021,3176–4205 ₹/quintal,local market,deccan agri trading
cucumber,zaid,sangareddy,2024,2974–4188 ₹/quintal,industry buyer,bharat agro mills
cinnamon,kharif,suryapet,2021,2843–3902 ₹/quintal,nearest mandi,krishi produce ltd
lychee,kharif,peddapalli,2021,2579–2824 ₹/quintal,local market,deccan agri trading
sapota,rabi,rajanna sircilla,2020,4391–5594 ₹/quintal,local market,bharat agro mills
rice,rabi,medchal–malkajgiri,2024,2443–2810 ₹/quintal,local market,telangana agri exports
guava,kharif,suryapet,2023,3056–3389 ₹/quintal,local market,bharat agro mills
hemp,kharif,kumuram bheem asifabad,2024,5009–5833 ₹/quintal,industry buyer,krishi produce ltd
jute,kharif,jayashankar bhupalpally,2021,4953–5407 ₹/quintal,industry buyer,green harvest corp
cabbage,rabi,bhadradri kothagudem,2022,3762–4512 ₹/quintal,local market,green harvest corp
ragi,kharif,medchal–malkajgiri,2022,2650–3208 ₹/quintal,industry buyer,rural farmers hub
jute,kharif,mahabubabad,2020,3846–5215 ₹/quintal,industry buyer,green harvest corp
pumpkin,zaid,nirmal,2024,2217–3263 ₹/quintal,local market,agro industries ltd
coriander,rabi,adilabad,2022,3470–3998 ₹/quintal,industry buyer,krishi produce ltd
coffee,kharif,jayashankar bhupalpally,2022,4266–5700 ₹/quintal,nearest mandi,rural farmers hub
coffee,kharif,mancherial,2020,3340–4232 ₹/quintal,local market,green harvest corp
tomato,zaid,wanaparthy,2022,1561–2017 ₹/quintal,local market,agro industries ltd
sunflower,zaid,mulugu,2021,3558–4193 ₹/quintal,local market,bharat agro mills
lychee,kharif,warangal urban,2024,2612–3919 ₹/quintal,nearest mandi,agro industries ltd
arhar,kharif,jagtial,2024,2900–3873 ₹/quintal,nearest mandi,agro industries ltd
sugarcane,kharif,warangal rural,2021,2817–3938 ₹/quintal,nearest mandi,krishi produce ltd
lemon,kharif,bhadradri kothagudem,2024,3934–5394 ₹/quintal,industry buyer,krishi produce ltd
okra,kharif,kamareddy,2024,2221–3064 ₹/quintal,industry buyer,mandi connect ltd
papaya,kharif,mahabubnagar,2021,3026–3476 ₹/quintal,nearest mandi,deccan agri trading
ginger,kharif,rangareddy,2022,3309–4118 ₹/quintal,local market,green harvest corp
urad,kharif,medchal–malkajgiri,2020,3236–3518 ₹/quintal,local market,krishi produce ltd
pomegranate,kharif,medak,2024,2035–3315 ₹/quintal,local market,rural farmers hub
mango,kharif,nagarkurnool,2022,4066–5194 ₹/quintal,industry buyer,rural farmers hub
carrot,rabi,mahabubnagar,2020,3769–4248 ₹/quintal,nearest mandi,mandi connect ltd
soybean,kharif,medchal–malkajgiri,2020,3162–4146 ₹/quintal,local market,deccan agri trading
guava,kharif,bhadradri kothagudem,2021,3171–4433 ₹/quintal,local market,agro industries ltd
beetroot,rabi,warangal rural,2022,2818–4156 ₹/quintal,local market,telangana agri exports
sesame,kharif,sangareddy,2022,3209–3966 ₹/quintal,nearest mandi,deccan agri trading
maize,rabi,nirmal,2023,1852–2890 ₹/quintal,local market,deccan agri trading
jowar,kharif,wanaparthy,2023,2348–3451 ₹/quintal,local market,green harvest corp
ragi,kharif,rajanna sircilla,2023,3259–3990 ₹/quintal,nearest mandi,telangana agri exports
sugarcane,kharif,mancherial,2023,3267–4264 ₹/quintal,local market,green harvest corp
soybean,kharif,mahabubabad,2024,3790–4829 ₹/quintal,nearest mandi,rural farmers hub
bitter gourd,kharif,hyderabad,2022,2888–3780 ₹/quintal,nearest mandi,telangana agri exports
lemon,kharif,rajanna sircilla,2022,2273–3740 ₹/quintal,nearest mandi,mandi connect ltd
cardamom,kharif,kamareddy,2020,2851–3324 ₹/quintal,industry buyer,bharat agro mills
pomegranate,kharif,hyderabad,2020,2964–4072 ₹/quintal,local market,bharat agro mills
maize,kharif,mancherial,2023,1643–2311 ₹/quintal,industry buyer,krishi produce ltd
cotton,kharif,suryapet,2022,5174–6253 ₹/quintal,industry buyer,deccan agri trading
saffron,rabi,khammam,2022,3093–4586 ₹/quintal,local market,krishi produce ltd
jowar,rabi,siddipet,2021,3143–4182 ₹/quintal,nearest mandi,deccan agri trading
soybean,kharif,medak,2020,3613–4810 ₹/quintal,local market,telangana agri exports
sugarcane,kharif,nalgonda,2020,3161–4292 ₹/quintal,nearest mandi,rural farmers hub
groundnut,kharif,suryapet,2022,4314–4750 ₹/quintal,nearest mandi,green harvest corp
gram,rabi,nizamabad,2023,3326–4016 ₹/quintal,industry buyer,krishi produce ltd
cabbage,rabi,rajanna sircilla,2023,4070–4312 ₹/quintal,industry buyer,telangana agri exports
cabbage,rabi,nalgonda,2022,2956–3356 ₹/quintal,nearest mandi,agro industries ltd
barley,rabi,jayashankar bhupalpally,2024,4537–5695 ₹/quintal,industry buyer,deccan agri trading
watermelon,zaid,nizamabad,2024,2873–3533 ₹/quintal,industry buyer,agro industries ltd
cardamom,kharif,mulugu,2023,3561–3985 ₹/quintal,industry buyer,green harvest corp
maize,kharif,siddipet,2022,1866–3017 ₹/quintal,local market,telangana agri exports
potato,rabi,suryapet,2024,1215–2217 ₹/quintal,local market,telangana agri exports
chilli,kharif,adilabad,2022,7997–8555 ₹/quintal,nearest mandi,krishi produce ltd
urad,kharif,sangareddy,2023,3360–4818 ₹/quintal,nearest mandi,deccan agri trading
bitter gourd,kharif,karimnagar,2023,2900–3385 ₹/quintal,local market,deccan agri trading
coriander,rabi,suryapet,2023,3027–3350 ₹/quintal,nearest mandi,mandi connect ltd
barley,rabi,yadadri bhuvanagiri,2022,4710–5624 ₹/quintal,industry buyer,agro industries ltd
pumpkin,kharif,suryapet,2024,2569–3364 ₹/quintal,local market,mandi connect ltd
gram,rabi,jayashankar bhupalpally,2024,4823–6205 ₹/quintal,local market,telangana agri exports
ridge gourd,kharif,sangareddy,2023,4374–4973 ₹/quintal,local market,rural farmers hub
banana,kharif,siddipet,2022,3148–4030 ₹/quintal,nearest mandi,bharat agro mills
jute,kharif,kumuram bheem asifabad,2022,3606–4149 ₹/quintal,industry buyer,deccan agri trading
guava,rabi,adilabad,2022,2892–3093 ₹/quintal,industry buyer,telangana agri exports
beetroot,rabi,nagarkurnool,2020,2693–3891 ₹/quintal,local market,krishi produce ltd
coffee,kharif,nagarkurnool,2024,2780–3091 ₹/quintal,nearest mandi,mandi connect ltd
arhar,kharif,yadadri bhuvanagiri,2024,3198–4270 ₹/quintal,industry buyer,green harvest corp
barley,rabi,suryapet,2020,3064–3583 ₹/quintal,local market,krishi produce ltd
tea,kharif,mahabubabad,2022,3621–4790 ₹/quintal,local market,telangana agri exports
pumpkin,zaid,rajanna sircilla,2024,2695–3438 ₹/quintal,nearest mandi,mandi connect ltd
gram,rabi,rangareddy,2024,3628–4647 ₹/quintal,local market,mandi connect ltd
chilli,kharif,siddipet,2024,6958–7595 ₹/quintal,industry buyer,rural farmers hub
lentil,rabi,rangareddy,2023,2559–3965 ₹/quintal,nearest mandi,bharat agro mills
garlic,rabi,yadadri bhuvanagiri,2023,3055–3511 ₹/quintal,local market,telangana agri exports
garlic,rabi,kamareddy,2021,2365–3720 ₹/quintal,local market,mandi connect ltd
urad,kharif,rangareddy,2021,3837–4103 ₹/quintal,nearest mandi,deccan agri trading
hemp,kharif,mulugu,2022,4677–4912 ₹/quintal,nearest mandi,telangana agri exports
ragi,kharif,mahabubnagar,2021,3493–4122 ₹/quintal,local market,bharat agro mills
jute,kharif,rangareddy,2024,3964–5183 ₹/quintal,industry buyer,rural farmers hub
barley,rabi,mahabubnagar,2023,2794–4232 ₹/quintal,industry buyer,agro industries ltd
millets,kharif,adilabad,2021,3266–3686 ₹/quintal,nearest mandi,deccan agri trading
brinjal,rabi,jogulamba gadwal,2024,3122–3910 ₹/quintal,nearest mandi,green harvest corp
arhar,kharif,kamareddy,2024,3418–4100 ₹/quintal,local market,agro industries ltd
sugarcane,kharif,warangal urban,2023,3101–3813 ₹/quintal,industry buyer,deccan agri trading
pomegranate,kharif,warangal urban,2020,2279–2744 ₹/quintal,nearest mandi,bharat agro mills
lentil,rabi,nirmal,2021,3499–4747 ₹/quintal,industry buyer,rural farmers hub
rubber,kharif,mulugu,2021,2856–3403 ₹/quintal,industry buyer,rural farmers hub
garlic,rabi,khammam,2023,2043–2953 ₹/quintal,nearest mandi,rural farmers hub
pulses,kharif,nizamabad,2024,3014–3984 ₹/quintal,local market,deccan agri trading
spices,zaid,nalgonda,2020,2860–3799 ₹/quintal,industry buyer,deccan agri trading
brinjal,rabi,medchal–malkajgiri,2023,4337–5172 ₹/quintal,nearest mandi,mandi connect ltd
cardamom,kharif,yadadri bhuvanagiri,2022,2309–2544 ₹/quintal,industry buyer,deccan agri trading
cauliflower,rabi,vikarabad,2021,4052–4807 ₹/quintal,industry buyer,green harvest corp
arhar,kharif,bhadradri kothagudem,2020,2830–4153 ₹/quintal,local market,deccan agri trading
ridge gourd,kharif,sangareddy,2023,2692–3245 ₹/quintal,industry buyer,rural farmers hub
clove,kharif,nagarkurnool,2024,4493–4876 ₹/quintal,nearest mandi,rural farmers hub
saffron,rabi,kumuram bheem asifabad,2023,2989–3701 ₹/quintal,industry buyer,bharat agro mills
rice,kharif,mahabubabad,2024,2127–2913 ₹/quintal,nearest mandi,bharat agro mills
brinjal,rabi,nirmal,2021,3052–4088 ₹/quintal,local market,bharat agro mills
maize,kharif,jayashankar bhupalpally,2020,1623–2008 ₹/quintal,local market,mandi connect ltd
lemon,kharif,mancherial,2022,2762–3430 ₹/quintal,industry buyer,agro industries ltd
watermelon,zaid,jogulamba gadwal,2024,2012–2550 ₹/quintal,industry buyer,bharat agro mills
cucumber,zaid,siddipet,2023,4548–5852 ₹/quintal,industry buyer,bharat agro mills
watermelon,zaid,vikarabad,2020,2893–3855 ₹/quintal,nearest mandi,telangana agri exports
tomato,rabi,sangareddy,2024,1201–1455 ₹/quintal,local market,bharat agro mills
cardamom,kharif,hyderabad,2021,3469–4409 ₹/quintal,nearest mandi,bharat agro mills
cotton,kharif,warangal rural,2022,5923–6617 ₹/quintal,local market,deccan agri trading
pumpkin,kharif,siddipet,2024,3284–4640 ₹/quintal,local market,bharat agro mills
pumpkin,kharif,jagtial,2022,2921–4228 ₹/quintal,industry buyer,agro industries ltd
sesame,kharif,warangal rural,2020,2641–3582 ₹/quintal,nearest mandi,green harvest corp
brinjal,kharif,sangareddy,2023,3751–4061 ₹/quintal,nearest mandi,green harvest corp
cinnamon,kharif,khammam,2023,3818–4994 ₹/quintal,nearest mandi,agro industries ltd
tomato,rabi,nizamabad,2022,1304–2075 ₹/quintal,local market,green harvest corp
apple,rabi,siddipet,2021,4414–5794 ₹/quintal,nearest mandi,telangana agri exports
ragi,kharif,rangareddy,2022,2998–3575 ₹/quintal,nearest mandi,agro industries ltd
pumpkin,zaid,kumuram bheem asifabad,2024,2309–2808 ₹/quintal,nearest mandi,krishi produce ltd
ridge gourd,kharif,medak,2020,2484–3804 ₹/quintal,industry buyer,bharat agro mills
pomegranate,kharif,nagarkurnool,2020,3359–4189 ₹/quintal,local market,telangana agri exports
cabbage,rabi,khammam,2024,4215–4474 ₹/quintal,nearest mandi,rural farmers hub
watermelon,zaid,medchal–malkajgiri,2022,2362–3310 ₹/quintal,industry buyer,agro industries ltd
mustard,rabi,medchal–malkajgiri,2024,4349–5686 ₹/quintal,local market,rural farmers hub
carrot,rabi,peddapalli,2022,3909–5302 ₹/quintal,industry buyer,mandi connect ltd
grapes,rabi,karimnagar,2023,4478–4746 ₹/quintal,industry buyer,rural farmers hub
coffee,kharif,rajanna sircilla,2024,3127–3906 ₹/quintal,local market,krishi produce ltd
bajra,kharif,mulugu,2024,1891–2588 ₹/quintal,local market,agro industries ltd
mustard,rabi,medak,2024,4077–5003 ₹/quintal,local market,mandi connect ltd
moong,kharif,jangaon,2023,3115–3511 ₹/quintal,industry buyer,krishi produce ltd
cabbage,rabi,yadadri bhuvanagiri,2024,2362–3220 ₹/quintal,nearest mandi,bharat agro mills
mustard,rabi,jagtial,2022,4520–4780 ₹/quintal,nearest mandi,rural farmers hub
tomato,rabi,rangareddy,2023,1084–2313 ₹/quintal,local market,telangana agri exports
hemp,kharif,medak,2024,3283–3735 ₹/quintal,local market,bharat agro mills
gram,rabi,nagarkurnool,2023,2861–3300 ₹/quintal,nearest mandi,deccan agri trading
carrot,rabi,khammam,2024,3002–3375 ₹/quintal,nearest mandi,green harvest corp
bajra,kharif,nirmal,2024,2795–4042 ₹/quintal,industry buyer,telangana agri exports
apple,rabi,adilabad,2022,3473–4160 ₹/quintal,industry buyer,mandi connect ltd
tomato,rabi,siddipet,2024,1194–1395 ₹/quintal,industry buyer,agro industries ltd
bajra,kharif,hyderabad,2024,2617–3403 ₹/quintal,nearest mandi,krishi produce ltd
peach,rabi,warangal rural,2024,3290–3960 ₹/quintal,local market,telangana agri exports
muskmelon,zaid,warangal rural,2020,2987–3551 ₹/quintal,industry buyer,krishi produce ltd
ginger,kharif,jayashankar bhupalpally,2024,4166–5586 ₹/quintal,local market,mandi connect ltd
sunflower,rabi,nalgonda,2023,5144–5393 ₹/quintal,local market,agro industries ltd
turmeric,kharif,sangareddy,2023,9363–9944 ₹/quintal,local market,krishi produce ltd
rubber,kharif,nirmal,2023,2834–3616 ₹/quintal,industry buyer,krishi produce ltd
rubber,kharif,medchal–malkajgiri,2022,3210–4404 ₹/quintal,nearest mandi,agro industries ltd
pulses,rabi,kamareddy,2021,3187–3651 ₹/quintal,industry buyer,green harvest corp
wheat,rabi,mahabubnagar,2022,2012–2441 ₹/quintal,local market,telangana agri exports
hemp,kharif,adilabad,2024,3662–4810 ₹/quintal,nearest mandi,rural farmers hub
soybean,kharif,suryapet,2024,3105–4173 ₹/quintal,nearest mandi,telangana agri exports
tea,kharif,nirmal,2022,3946–4570 ₹/quintal,nearest mandi,telangana agri exports
cumin,rabi,khammam,2024,3515–4893 ₹/quintal,nearest mandi,bharat agro mills
cauliflower,rabi,kamareddy,2024,2819–3525 ₹/quintal,local market,bharat agro mills
okra,kharif,medchal–malkajgiri,2024,3368–3599 ₹/quintal,nearest mandi,bharat agro mills
banana,rabi,jangaon,2022,4806–5755 ₹/quintal,industry buyer,rural farmers hub
moong,kharif,medchal–malkajgiri,2020,3030–3658 ₹/quintal,local market,rural farmers hub
coriander,rabi,wanaparthy,2021,3004–4290 ₹/quintal,nearest mandi,bharat agro mills
bottle gourd,kharif,sangareddy,2020,3909–4391 ₹/quintal,nearest mandi,green harvest corp
urad,kharif,medchal–malkajgiri,2020,4557–4877 ₹/quintal,local market,green harvest corp
lemon,kharif,mahabubnagar,2020,3710–4125 ₹/quintal,nearest mandi,bharat agro mills
urad,kharif,nizamabad,2023,2694–3544 ₹/quintal,nearest mandi,agro industries ltd
cinnamon,kharif,karimnagar,2022,2966–4300 ₹/quintal,industry buyer,deccan agri trading
brinjal,rabi,rangareddy,2021,3389–4207 ₹/quintal,local market,telangana agri exports
soybean,kharif,bhadradri kothagudem,2020,3925–5255 ₹/quintal,industry buyer,rural farmers hub
mango,kharif,rajanna sircilla,2021,2850–4251 ₹/quintal,industry buyer,rural farmers hub
tea,kharif,medak,2022,2891–3573 ₹/quintal,local market,rural farmers hub
watermelon,zaid,jagtial,2023,3417–4376 ₹/quintal,nearest mandi,agro industries ltd
bitter gourd,kharif,jayashankar bhupalpally,2021,3274–3822 ₹/quintal,local market,green harvest corp
sunflower,zaid,jangaon,2020,3138–4244 ₹/quintal,industry buyer,mandi connect ltd
beetroot,rabi,vikarabad,2024,4329–5289 ₹/quintal,local market,agro industries ltd
peach,rabi,nalgonda,2022,3328–4608 ₹/quintal,local market,krishi produce ltd
cotton,kharif,wanaparthy,2021,5135–5937 ₹/quintal,industry buyer,krishi produce ltd
cabbage,rabi,medak,2024,3878–4220 ₹/quintal,local market,agro industries ltd
lemon,kharif,mahabubnagar,2020,4018–4639 ₹/quintal,industry buyer,telangana agri exports
grapes,rabi,jagtial,2021,2881–3322 ₹/quintal,local market,krishi produce ltd
lychee,kharif,nalgonda,2020,2859–3397 ₹/quintal,local market,rural farmers hub
wheat,rabi,mahabubabad,2024,2051–2636 ₹/quintal,local market,krishi produce ltd
muskmelon,zaid,mulugu,2022,3574–3855 ₹/quintal,local market,rural farmers hub
apple,rabi,kamareddy,2021,3122–3883 ₹/quintal,local market,green harvest corp
tea,kharif,vikarabad,2024,4539–5750 ₹/quintal,industry buyer,bharat agro mills
banana,rabi,warangal urban,2023,4188–4488 ₹/quintal,nearest mandi,rural farmers hub
banana,rabi,rajanna sircilla,2023,2455–3008 ₹/quintal,industry buyer,deccan agri trading
saffron,rabi,wanaparthy,2021,2733–3667 ₹/quintal,industry buyer,krishi produce ltd
peach,rabi,yadadri bhuvanagiri,2024,3130–3711 ₹/quintal,local market,agro industries ltd
mango,kharif,kamareddy,2021,2092–3246 ₹/quintal,local market,green harvest corp
ridge gourd,kharif,rangareddy,2023,4618–5547 ₹/quintal,nearest mandi,bharat agro mills
plum,rabi,nizamabad,2021,2047–3522 ₹/quintal,local market,bharat agro mills
sapota,kharif,nagarkurnool,2022,2897–3503 ₹/quintal,local market,krishi produce ltd
cauliflower,rabi,vikarabad,2022,2963–3324 ₹/quintal,nearest mandi,green harvest corp
beetroot,rabi,jangaon,2023,2507–3420 ₹/quintal,local market,rural farmers hub
cabbage,rabi,medchal–malkajgiri,2024,2969–3952 ₹/quintal,nearest mandi,mandi connect ltd
hemp,kharif,jayashankar bhupalpally,2020,3117–3899 ₹/quintal,industry buyer,green harvest corp
ginger,kharif,sangareddy,2022,3379–4286 ₹/quintal,local market,krishi produce ltd
guava,rabi,yadadri bhuvanagiri,2022,2821–3739 ₹/quintal,local market,telangana agri exports
cumin,rabi,warangal rural,2023,3008–4386 ₹/quintal,nearest mandi,rural farmers hub
peach,rabi,nalgonda,2023,2884–3519 ₹/quintal,nearest mandi,green harvest corp
jowar,rabi,mahabubabad,2020,4289–5060 ₹/quintal,industry buyer,rural farmers hub
bottle gourd,kharif,wanaparthy,2021,3994–4433 ₹/quintal,industry buyer,green harvest corp
mango,kharif,hyderabad,2021,3082–3376 ₹/quintal,local market,green harvest corp
pomegranate,kharif,mancherial,2021,3279–3629 ₹/quintal,nearest mandi,mandi connect ltd
cardamom,kharif,mulugu,2022,2786–4048 ₹/quintal,local market,krishi produce ltd
gram,rabi,mancherial,2024,2733–3402 ₹/quintal,industry buyer,agro industries ltd
lychee,kharif,bhadradri kothagudem,2020,2965–3201 ₹/quintal,local market,krishi produce ltd
saffron,rabi,jayashankar bhupalpally,2020,5047–6171 ₹/quintal,industry buyer,mandi connect ltd
turmeric,kharif,peddapalli,2020,9219–9824 ₹/quintal,industry buyer,bharat agro mills
gram,rabi,jagtial,2024,3609–4588 ₹/quintal,local market,rural farmers hub
sugarcane,kharif,mulugu,2021,3064–4288 ₹/quintal,local market,mandi connect ltd
sapota,kharif,jangaon,2024,3051–3407 ₹/quintal,local market,green harvest corp
soybean,kharif,medchal–malkajgiri,2024,3283–3863 ₹/quintal,nearest mandi,rural farmers hub
okra,kharif,bhadradri kothagudem,2022,3299–4092 ₹/quintal,industry buyer,telangana agri exports
plum,rabi,nizamabad,2022,3521–4083 ₹/quintal,nearest mandi,bharat agro mills
potato,rabi,adilabad,2024,1313–2077 ₹/quintal,industry buyer,agro industries ltd
plum,rabi,kumuram bheem asifabad,2024,3215–3817 ₹/quintal,local market,telangana agri exports
soybean,kharif,kamareddy,2022,3783–4543 ₹/quintal,industry buyer,agro industries ltd
barley,rabi,nalgonda,2024,3827–4104 ₹/quintal,nearest mandi,mandi connect ltd
rubber,kharif,nirmal,2022,2650–3579 ₹/quintal,industry buyer,deccan agri trading
bottle gourd,kharif,jagtial,2024,2673–3269 ₹/quintal,local market,deccan agri trading
bitter gourd,kharif,kamareddy,2024,2970–3742 ₹/quintal,local market,telangana agri exports
cotton,kharif,karimnagar,2023,6050–7052 ₹/quintal,industry buyer,agro industries ltd
groundnut,kharif,warangal rural,2024,3954–5389 ₹/quintal,industry buyer,green harvest corp
mango,kharif,yadadri bhuvanagiri,2022,3720–4366 ₹/quintal,local market,green harvest corp
sesame,kharif,adilabad,2020,2852–3362 ₹/quintal,local market,telangana agri exports
mango,kharif,vikarabad,2024,3497–4600 ₹/quintal,local market,mandi connect ltd
bajra,kharif,jangaon,2022,3500–4059 ₹/quintal,industry buyer,krishi produce ltd
millets,kharif,karimnagar,2020,3398–4450 ₹/quintal,nearest mandi,bharat agro mills
soybean,kharif,peddapalli,2024,4338–5690 ₹/quintal,nearest mandi,telangana agri exports
chilli,rabi,khammam,2022,5776–6196 ₹/quintal,local market,telangana agri exports
maize,kharif,mahabubabad,2024,1945–3000 ₹/quintal,industry buyer,deccan agri trading
rubber,kharif,jangaon,2021,3910–5050 ₹/quintal,nearest mandi,deccan agri trading
hemp,kharif,wanaparthy,2020,4421–4731 ₹/quintal,industry buyer,rural farmers hub
peach,rabi,jangaon,2024,4945–6174 ₹/quintal,nearest mandi,green harvest corp
moong,kharif,siddipet,2024,2821–3276 ₹/quintal,nearest mandi,green harvest corp
soybean,kharif,warangal urban,2023,3114–3892 ₹/quintal,industry buyer,bharat agro mills
cinnamon,kharif,medak,2024,3593–4766 ₹/quintal,local market,agro industries ltd
cabbage,rabi,peddapalli,2021,2907–3328 ₹/quintal,industry buyer,bharat agro mills
cucumber,zaid,siddipet,2022,3767–5101 ₹/quintal,industry buyer,deccan agri trading
cauliflower,rabi,wanaparthy,2023,3169–3982 ₹/quintal,local market,krishi produce ltd
urad,kharif,rajanna sircilla,2023,2968–4375 ₹/quintal,industry buyer,mandi connect ltd
cucumber,zaid,siddipet,2022,3160–3452 ₹/quintal,nearest mandi,green harvest corp
coffee,kharif,warangal rural,2021,3077–3872 ₹/quintal,industry buyer,telangana agri exports
coffee,kharif,nalgonda,2021,5006–5783 ₹/quintal,nearest mandi,bharat agro mills
watermelon,zaid,rangareddy,2020,3888–5337 ₹/quintal,local market,agro industries ltd
moong,kharif,mancherial,2023,3597–4915 ₹/quintal,industry buyer,telangana agri exports
beetroot,rabi,jangaon,2022,2835–3095 ₹/quintal,local market,rural farmers hub
watermelon,zaid,medchal–malkajgiri,2020,3198–4488 ₹/quintal,local market,mandi connect ltd
sesame,kharif,wanaparthy,2020,3503–4467 ₹/quintal,local market,bharat agro mills
grapes,rabi,nirmal,2023,2844–4267 ₹/quintal,industry buyer,bharat agro mills
jowar,rabi,wanaparthy,2021,2781–4246 ₹/quintal,local market,telangana agri exports
apple,rabi,wanaparthy,2021,2419–3676 ₹/quintal,nearest mandi,green harvest corp
pomegranate,kharif,kamareddy,2022,3042–4403 ₹/quintal,nearest mandi,bharat agro mills
apple,rabi,bhadradri kothagudem,2021,2846–4199 ₹/quintal,nearest mandi,krishi produce ltd
ginger,kharif,warangal urban,2021,2923–3754 ₹/quintal,industry buyer,telangana agri exports
cucumber,zaid,nalgonda,2021,4592–4924 ₹/quintal,local market,rural farmers hub
grapes,rabi,kumuram bheem asifabad,2022,3237–4624 ₹/quintal,nearest mandi,mandi connect ltd
moong,kharif,vikarabad,2021,2747–3467 ₹/quintal,local market,deccan agri trading
lychee,kharif,nagarkurnool,2023,1959–2220 ₹/quintal,industry buyer,deccan agri trading
urad,kharif,jayashankar bhupalpally,2020,3790–5258 ₹/quintal,nearest mandi,green harvest corp
cumin,rabi,medchal–malkajgiri,2023,3580–4839 ₹/quintal,nearest mandi,krishi produce ltd
maize,rabi,peddapalli,2024,1697–2410 ₹/quintal,local market,deccan agri trading
lemon,kharif,rajanna sircilla,2024,2590–2885 ₹/quintal,nearest mandi,telangana agri exports
bitter gourd,kharif,rajanna sircilla,2021,3879–5251 ₹/quintal,nearest mandi,krishi produce ltd
cotton,kharif,rajanna sircilla,2022,6337–7360 ₹/quintal,nearest mandi,deccan agri trading
bottle gourd,kharif,karimnagar,2021,4508–5802 ₹/quintal,industry buyer,krishi produce ltd
beetroot,rabi,nalgonda,2022,4838–5087 ₹/quintal,industry buyer,mandi connect ltd
cumin,rabi,mulugu,2020,3613–4216 ₹/quintal,nearest mandi,telangana agri exports
cotton,kharif,warangal rural,2022,5253–6347 ₹/quintal,industry buyer,bharat agro mills
ginger,kharif,nirmal,2021,2876–4226 ₹/quintal,industry buyer,telangana agri exports
urad,kharif,siddipet,2020,3409–4554 ₹/quintal,local market,green harvest corp
cumin,rabi,mahabubabad,2024,3139–3736 ₹/quintal,nearest mandi,green harvest corp
saffron,rabi,khammam,2022,3040–3522 ₹/quintal,nearest mandi,telangana agri exports
bitter gourd,kharif,bhadradri kothagudem,2024,3703–3981 ₹/quintal,local market,krishi produce ltd
sugarcane,kharif,warangal rural,2022,3219–3433 ₹/quintal,nearest mandi,agro industries ltd
pomegranate,kharif,karimnagar,2023,3506–4828 ₹/quintal,nearest mandi,bharat agro mills
urad,kharif,warangal rural,2021,4104–4327 ₹/quintal,nearest mandi,bharat agro mills
coriander,rabi,hyderabad,2023,3793–4134 ₹/quintal,local market,deccan agri trading
jowar,rabi,medchal–malkajgiri,2022,4289–4979 ₹/quintal,industry buyer,bharat agro mills
pumpkin,zaid,medchal–malkajgiri,2020,3833–4530 ₹/quintal,local market,rural farmers hub
cumin,rabi,warangal rural,2023,2852–3056 ₹/quintal,nearest mandi,telangana agri exports
jute,kharif,jagtial,2024,3178–3530 ₹/quintal,local market,mandi connect ltd
cauliflower,rabi,warangal rural,2023,2670–3008 ₹/quintal,nearest mandi,deccan agri trading
beetroot,rabi,rajanna sircilla,2024,3830–4330 ₹/quintal,local market,green harvest corp
soybean,kharif,mahabubabad,2024,4203–5379 ₹/quintal,industry buyer,agro industries ltd
cumin,rabi,peddapalli,2024,2826–3083 ₹/quintal,nearest mandi,rural farmers hub
moong,kharif,nizamabad,2022,3216–4542 ₹/quintal,nearest mandi,green harvest corp
barley,rabi,nagarkurnool,2024,2813–3866 ₹/quintal,local market,bharat agro mills
arhar,kharif,hyderabad,2022,4192–4900 ₹/quintal,industry buyer,telangana agri exports
cardamom,kharif,wanaparthy,2021,2854–3771 ₹/quintal,industry buyer,green harvest corp
grapes,rabi,jayashankar bhupalpally,2023,4388–5634 ₹/quintal,nearest mandi,krishi produce ltd
mustard,rabi,khammam,2023,4818–5307 ₹/quintal,industry buyer,rural farmers hub
cucumber,zaid,nalgonda,2022,3851–5198 ₹/quintal,nearest mandi,green harvest corp
pulses,rabi,medak,2022,3181–3990 ₹/quintal,local market,green harvest corp
ginger,kharif,jangaon,2023,4282–5516 ₹/quintal,industry buyer,green harvest corp
